ClientRef,OperationRef,MontantTND,DateOperation,NatureOperation,SensFlux,CanalUtilise,SecteurCommercant,DeviseTransaction
2101db79-89a1-414b-9b37-351d9797701b,OP-000024,7.97,2026-09-04,CARD_PURCHASE,,MOBILE_APP,E_COMMERCE,TND
2ecd0ce0-37ce-44b3-bb33-b0e719183e8a,OP-000025,359.06,2026-08-26,SAVINGS,,ONLINE,,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000026,190.72,2026-09-21,BILL_PAYMENT,,MOBILE_APP,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000027,220.1,2026-09-30,CARD_PURCHASE,,ONLINE,FUEL,TND
98ea3367-2331-4fba-8dcf-6a8d2475028a,OP-000028,239.49,2026-08-31,TRANSFER,IN,POS,,TND
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000029,464.49,2026-08-02,TRANSFER,IN,ATM,,TND
7ac599cc-ebe3-46c5-8f8f-8f2e29e57712,OP-000030,78.46,2026-08-29,ONLINE_PAYMENT,,MOBILE_APP,RESTAURANT,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000031,185.27,2026-08-21,CARD_PURCHASE,,MOBILE_APP,FOOD_DELIVERY,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000032,350.99,2026-09-11,DEPOSIT,,ONLINE,,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000033,231.2,2026-09-13,ONLINE_PAYMENT,,ATM,FOOD_DELIVERY,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000034,0,2026-08-03,PRODUCT_EVENT,,ATM,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000035,325.87,2026-09-08,TRANSFER,OUT,POS,,TND
d5aca640-a679-462e-ac8a-fc17aad46bae,OP-000036,81.74,2026-09-22,BILL_PAYMENT,,POS,,TND
98ea3367-2331-4fba-8dcf-6a8d2475028a,OP-000037,433.81,2026-08-24,DEPOSIT,,MOBILE_APP,,TND
d5aca640-a679-462e-ac8a-fc17aad46bae,OP-000038,59.56,2026-08-12,BILL_PAYMENT,,MOBILE_APP,,TND
2eb9fcac-f9f8-48bc-b186-3f087468dc42,OP-000039,172.66,2026-08-30,ONLINE_PAYMENT,,ONLINE,GROCERY,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000040,0,2026-08-05,PRODUCT_EVENT,,ONLINE,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000041,461.46,2026-08-15,DEPOSIT,,ONLINE,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000042,0,2026-09-09,PRODUCT_EVENT,,ATM,,TND
efaa92cf-0e87-4370-ba67-be22f07d585d,OP-000043,98.68,2026-08-28,ONLINE_PAYMENT,,ATM,GROCERY,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000044,275.73,2026-10-02,CARD_PURCHASE,,ATM,FUEL,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000045,116.67,2026-08-24,DEPOSIT,,POS,,EUR
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000046,166.67,2026-08-14,TRANSFER,OUT,ONLINE,,TND
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000047,383.12,2026-08-11,TRANSFER,IN,MOBILE_APP,,TND
4c056708-a89d-4649-aec7-069be9505175,OP-000048,338.65,2026-09-08,ONLINE_PAYMENT,,POS,FUEL,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000049,108.61,2026-08-20,ONLINE_PAYMENT,,POS,FUEL,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000050,180.36,2026-08-03,BILL_PAYMENT,,MOBILE_APP,,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000051,183.95,2026-08-07,SAVINGS,,MOBILE_APP,,TND
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000052,165.07,2026-08-18,CARD_PURCHASE,,MOBILE_APP,RESTAURANT,TND
d5aca640-a679-462e-ac8a-fc17aad46bae,OP-000053,0,2026-09-06,PRODUCT_EVENT,,MOBILE_APP,,TND
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000054,0,2026-10-07,PRODUCT_EVENT,,ATM,,TND
98ea3367-2331-4fba-8dcf-6a8d2475028a,OP-000055,397.31,2026-10-07,SAVINGS,,POS,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000056,120.46,2026-08-17,BILL_PAYMENT,,MOBILE_APP,,TND
e6ee527b-2c1b-4a91-a493-714bb2bad56b,OP-000057,537.64,2026-08-07,SAVINGS,,ATM,,TND
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000058,182.28,2026-10-02,SAVINGS,,POS,,TND
2ecd0ce0-37ce-44b3-bb33-b0e719183e8a,OP-000059,381.54,2026-08-27,SAVINGS,,ONLINE,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000060,280.96,2026-10-13,TRANSFER,OUT,MOBILE_APP,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000061,0,2026-08-14,PRODUCT_EVENT,,POS,,TND
7ac599cc-ebe3-46c5-8f8f-8f2e29e57712,OP-000062,0,2026-08-21,PRODUCT_EVENT,,ONLINE,,TND
4c056708-a89d-4649-aec7-069be9505175,OP-000063,196.47,2026-08-11,BILL_PAYMENT,,ONLINE,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000064,46.6,2026-10-12,TRANSFER,OUT,ATM,,TND
e6ee527b-2c1b-4a91-a493-714bb2bad56b,OP-000065,181.28,2026-10-02,ONLINE_PAYMENT,,ONLINE,TELECOM,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000066,20.25,2026-09-23,CARD_PURCHASE,,MOBILE_APP,GROCERY,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000067,311.84,2026-09-04,ONLINE_PAYMENT,,MOBILE_APP,FOOD_DELIVERY,TND
efaa92cf-0e87-4370-ba67-be22f07d585d,OP-000068,5.6,2026-08-30,CARD_PURCHASE,,ATM,RESTAURANT,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000069,360.09,2026-08-12,ONLINE_PAYMENT,,MOBILE_APP,GROCERY,TND
2eb9fcac-f9f8-48bc-b186-3f087468dc42,OP-000070,268.58,2026-09-25,TRANSFER,IN,MOBILE_APP,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000071,360.43,2026-10-10,SAVINGS,,ATM,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000072,485.58,2026-09-27,TRANSFER,OUT,MOBILE_APP,,TND
efaa92cf-0e87-4370-ba67-be22f07d585d,OP-000073,0,2026-09-19,PRODUCT_EVENT,,POS,,TND
e6ee527b-2c1b-4a91-a493-714bb2bad56b,OP-000074,0,2026-09-12,PRODUCT_EVENT,,POS,,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000075,120.73,2026-09-11,BILL_PAYMENT,,ONLINE,,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000076,230.74,2026-08-26,DEPOSIT,,ATM,,EUR
4c056708-a89d-4649-aec7-069be9505175,OP-000077,346.98,2026-08-02,SAVINGS,,POS,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000078,0,2026-08-24,PRODUCT_EVENT,,MOBILE_APP,,EUR
7ac599cc-ebe3-46c5-8f8f-8f2e29e57712,OP-000079,114.84,2026-09-04,BILL_PAYMENT,,ONLINE,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000080,309.83,2026-10-14,TRANSFER,OUT,ONLINE,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000081,382.35,2026-09-10,TRANSFER,IN,MOBILE_APP,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000082,284.17,2026-08-16,CARD_PURCHASE,,POS,RETAIL,EUR
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000083,275.15,2026-09-01,SAVINGS,,MOBILE_APP,,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000084,526.88,2026-09-04,SAVINGS,,ONLINE,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000085,150.49,2026-10-08,CARD_PURCHASE,,ATM,RESTAURANT,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000086,205.54,2026-08-30,BILL_PAYMENT,,ONLINE,,TND
e6ee527b-2c1b-4a91-a493-714bb2bad56b,OP-000087,238.6,2026-10-13,BILL_PAYMENT,,ONLINE,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000088,34.61,2026-09-03,CARD_PURCHASE,,POS,FOOD_DELIVERY,TND
7e9308eb-2669-4dc5-a96d-b8bf509e4f87,OP-000089,17.47,2026-10-12,TRANSFER,OUT,ATM,,EUR
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000090,58.96,2026-08-28,ONLINE_PAYMENT,,MOBILE_APP,GROCERY,TND
efaa92cf-0e87-4370-ba67-be22f07d585d,OP-000091,320.67,2026-09-06,ONLINE_PAYMENT,,POS,RETAIL,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000092,219.77,2026-08-18,TRANSFER,OUT,POS,,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000093,499.11,2026-09-22,DEPOSIT,,POS,,TND
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000094,246.92,2026-08-23,ONLINE_PAYMENT,,ONLINE,FOOD_DELIVERY,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000095,578.65,2026-09-17,SAVINGS,,POS,,TND
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000096,290.75,2026-08-25,TRANSFER,OUT,ONLINE,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000097,253.38,2026-08-03,CARD_PURCHASE,,ATM,TELECOM,TND
98ea3367-2331-4fba-8dcf-6a8d2475028a,OP-000098,0,2026-09-03,PRODUCT_EVENT,,ONLINE,,TND
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000099,403.76,2026-08-23,DEPOSIT,,MOBILE_APP,,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000100,288.56,2026-08-26,DEPOSIT,,POS,,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000101,181.83,2026-08-20,BILL_PAYMENT,,ATM,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000102,244.45,2026-10-14,ONLINE_PAYMENT,,POS,GROCERY,TND
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000103,365.4,2026-09-06,SAVINGS,,ONLINE,,EUR
16b627b5-bed0-421c-b04c-248716ba2757,OP-000104,400.26,2026-08-29,TRANSFER,IN,MOBILE_APP,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000105,0,2026-10-12,PRODUCT_EVENT,,POS,,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000106,69.12,2026-08-21,BILL_PAYMENT,,ATM,,TND
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000107,148.72,2026-09-01,DEPOSIT,,ONLINE,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000108,289.77,2026-08-18,CARD_PURCHASE,,ATM,FUEL,TND
98ea3367-2331-4fba-8dcf-6a8d2475028a,OP-000109,32.25,2026-09-22,BILL_PAYMENT,,POS,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000110,85.03,2026-09-15,DEPOSIT,,ONLINE,,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000111,203.38,2026-09-27,CARD_PURCHASE,,ATM,RESTAURANT,TND
1d7d8f22-0b82-43f0-a7d1-4feec5caaa97,OP-000112,119.37,2026-08-16,DEPOSIT,,POS,,TND
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000113,172.07,2026-09-25,CARD_PURCHASE,,ATM,FOOD_DELIVERY,TND
2101db79-89a1-414b-9b37-351d9797701b,OP-000114,111.75,2026-09-04,CARD_PURCHASE,,ONLINE,E_COMMERCE,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000115,0,2026-08-21,PRODUCT_EVENT,,POS,,TND
2eb9fcac-f9f8-48bc-b186-3f087468dc42,OP-000116,119.5,2026-10-04,CARD_PURCHASE,,ONLINE,FUEL,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000117,79.02,2026-08-25,TRANSFER,OUT,ONLINE,,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000118,18.41,2026-08-18,CARD_PURCHASE,,ATM,FUEL,TND
7e9308eb-2669-4dc5-a96d-b8bf509e4f87,OP-000119,88.14,2026-09-29,CARD_PURCHASE,,ATM,E_COMMERCE,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000120,0,2026-10-01,PRODUCT_EVENT,,ATM,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000121,540.18,2026-09-18,DEPOSIT,,ATM,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000122,53.85,2026-09-02,BILL_PAYMENT,,POS,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000123,119.81,2026-08-05,BILL_PAYMENT,,POS,,TND
2ecd0ce0-37ce-44b3-bb33-b0e719183e8a,OP-000124,125.7,2026-09-19,BILL_PAYMENT,,ONLINE,,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000125,143.83,2026-09-08,ONLINE_PAYMENT,,POS,RESTAURANT,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000126,229.06,2026-08-21,TRANSFER,OUT,POS,,TND
1d7d8f22-0b82-43f0-a7d1-4feec5caaa97,OP-000127,31.39,2026-09-10,TRANSFER,IN,ONLINE,,EUR
7ac599cc-ebe3-46c5-8f8f-8f2e29e57712,OP-000128,481.12,2026-10-09,SAVINGS,,ONLINE,,TND
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000129,76.63,2026-08-10,CARD_PURCHASE,,ATM,RESTAURANT,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000130,0,2026-08-20,PRODUCT_EVENT,,ONLINE,,EUR
2eb9fcac-f9f8-48bc-b186-3f087468dc42,OP-000131,89.67,2026-08-13,CARD_PURCHASE,,ONLINE,RESTAURANT,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000132,295.64,2026-09-30,CARD_PURCHASE,,POS,RESTAURANT,TND
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000133,133.36,2026-09-18,ONLINE_PAYMENT,,ONLINE,E_COMMERCE,EUR
efaa92cf-0e87-4370-ba67-be22f07d585d,OP-000134,277.24,2026-08-17,SAVINGS,,MOBILE_APP,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000135,67.12,2026-09-12,TRANSFER,OUT,MOBILE_APP,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000136,108.1,2026-10-02,TRANSFER,OUT,ATM,,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000137,23.11,2026-10-08,BILL_PAYMENT,,ONLINE,,TND
e6ee527b-2c1b-4a91-a493-714bb2bad56b,OP-000138,435.88,2026-08-02,SAVINGS,,POS,,EUR
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000139,108.04,2026-09-06,TRANSFER,IN,ONLINE,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000140,13.31,2026-09-01,CARD_PURCHASE,,ATM,RETAIL,TND
1d7d8f22-0b82-43f0-a7d1-4feec5caaa97,OP-000141,393.22,2026-09-16,DEPOSIT,,POS,,EUR
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000142,147.85,2026-09-22,BILL_PAYMENT,,ONLINE,,TND
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000143,132.72,2026-09-22,TRANSFER,OUT,ATM,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000144,212.32,2026-08-25,ONLINE_PAYMENT,,POS,FOOD_DELIVERY,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000145,181.5,2026-09-09,TRANSFER,IN,MOBILE_APP,,TND
98ea3367-2331-4fba-8dcf-6a8d2475028a,OP-000146,190.69,2026-08-19,CARD_PURCHASE,,ONLINE,TELECOM,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000147,0,2026-09-30,PRODUCT_EVENT,,ATM,,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000148,288.44,2026-08-18,ONLINE_PAYMENT,,ATM,RESTAURANT,TND
2101db79-89a1-414b-9b37-351d9797701b,OP-000149,525.16,2026-09-26,SAVINGS,,POS,,TND
4c056708-a89d-4649-aec7-069be9505175,OP-000150,546.9,2026-09-22,DEPOSIT,,POS,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000151,243.2,2026-09-23,ONLINE_PAYMENT,,POS,GROCERY,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000152,305.09,2026-08-28,DEPOSIT,,POS,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000153,0,2026-08-03,PRODUCT_EVENT,,ONLINE,,EUR
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000154,80.38,2026-09-05,ONLINE_PAYMENT,,ATM,GROCERY,TND
2eb9fcac-f9f8-48bc-b186-3f087468dc42,OP-000155,310.07,2026-09-27,SAVINGS,,ONLINE,,TND
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000156,207.79,2026-08-05,CARD_PURCHASE,,POS,E_COMMERCE,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000157,269.28,2026-10-01,ONLINE_PAYMENT,,MOBILE_APP,RETAIL,EUR
1d7d8f22-0b82-43f0-a7d1-4feec5caaa97,OP-000158,476.16,2026-08-10,SAVINGS,,ATM,,TND
4c056708-a89d-4649-aec7-069be9505175,OP-000159,198.78,2026-09-07,SAVINGS,,ONLINE,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000160,47.1,2026-08-13,ONLINE_PAYMENT,,ONLINE,GROCERY,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000161,0,2026-08-09,PRODUCT_EVENT,,ONLINE,,TND
1d7d8f22-0b82-43f0-a7d1-4feec5caaa97,OP-000162,172.68,2026-09-18,ONLINE_PAYMENT,,POS,FUEL,TND
d5aca640-a679-462e-ac8a-fc17aad46bae,OP-000163,21.28,2026-10-07,BILL_PAYMENT,,POS,,TND
8b4318d7-b169-44ad-9bb1-a5d4dcc3848e,OP-000164,487.87,2026-08-12,DEPOSIT,,ATM,,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000165,0,2026-09-14,PRODUCT_EVENT,,POS,,TND
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000166,121.52,2026-10-10,CARD_PURCHASE,,ATM,FOOD_DELIVERY,TND
7e9308eb-2669-4dc5-a96d-b8bf509e4f87,OP-000167,410.44,2026-09-05,DEPOSIT,,ATM,,TND
fc08d5f4-6b0a-400a-80c7-1e44b59a39a7,OP-000168,0,2026-10-13,PRODUCT_EVENT,,POS,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000169,67.1,2026-09-09,BILL_PAYMENT,,MOBILE_APP,,TND
efaa92cf-0e87-4370-ba67-be22f07d585d,OP-000170,23.22,2026-08-18,SAVINGS,,ATM,,TND
b9765fa3-eb6d-476d-b764-aea7af2b8717,OP-000171,78.49,2026-08-13,TRANSFER,IN,POS,,TND
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000172,8.3,2026-10-10,CARD_PURCHASE,,POS,FOOD_DELIVERY,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000173,230.23,2026-09-29,DEPOSIT,,ATM,,TND
2101db79-89a1-414b-9b37-351d9797701b,OP-000174,441.34,2026-09-09,SAVINGS,,MOBILE_APP,,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000175,0,2026-08-13,PRODUCT_EVENT,,ATM,,TND
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000176,14.37,2026-08-28,ONLINE_PAYMENT,,ONLINE,RESTAURANT,EUR
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000177,44.2,2026-08-25,BILL_PAYMENT,,MOBILE_APP,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000178,298.31,2026-10-09,SAVINGS,,MOBILE_APP,,TND
2ecd0ce0-37ce-44b3-bb33-b0e719183e8a,OP-000179,170.07,2026-09-14,SAVINGS,,ONLINE,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000180,245.94,2026-08-17,BILL_PAYMENT,,MOBILE_APP,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000181,439.18,2026-09-08,TRANSFER,IN,POS,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000182,319.26,2026-09-08,ONLINE_PAYMENT,,ONLINE,RETAIL,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000183,298.61,2026-09-10,CARD_PURCHASE,,MOBILE_APP,E_COMMERCE,TND
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000184,246.93,2026-08-15,BILL_PAYMENT,,MOBILE_APP,,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000185,65.3,2026-09-23,ONLINE_PAYMENT,,ONLINE,TELECOM,TND
9e1cd179-232c-4848-b615-d36a7f8fea95,OP-000186,241.49,2026-08-04,TRANSFER,OUT,ATM,,TND
4c056708-a89d-4649-aec7-069be9505175,OP-000187,180.62,2026-10-10,CARD_PURCHASE,,MOBILE_APP,FUEL,TND
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000188,394.69,2026-08-01,DEPOSIT,,POS,,TND
2ecd0ce0-37ce-44b3-bb33-b0e719183e8a,OP-000189,42.48,2026-08-07,BILL_PAYMENT,,POS,,TND
2ecd0ce0-37ce-44b3-bb33-b0e719183e8a,OP-000190,74.69,2026-08-18,SAVINGS,,ATM,,TND
1d7d8f22-0b82-43f0-a7d1-4feec5caaa97,OP-000191,44.16,2026-09-27,CARD_PURCHASE,,ATM,FOOD_DELIVERY,TND
7ac599cc-ebe3-46c5-8f8f-8f2e29e57712,OP-000192,412.68,2026-08-07,SAVINGS,,POS,,TND
023a65f7-7884-4f2c-805c-1b2cfdd790e8,OP-000193,148.39,2026-09-18,TRANSFER,IN,ATM,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000194,231.56,2026-08-28,BILL_PAYMENT,,ATM,,TND
98ea3367-2331-4fba-8dcf-6a8d2475028a,OP-000195,224.98,2026-10-13,BILL_PAYMENT,,POS,,EUR
2eb9fcac-f9f8-48bc-b186-3f087468dc42,OP-000196,318.36,2026-08-07,SAVINGS,,MOBILE_APP,,TND
46249a16-3043-4206-a6eb-10182dcb4257,OP-000197,0,2026-08-21,PRODUCT_EVENT,,MOBILE_APP,,TND
16b627b5-bed0-421c-b04c-248716ba2757,OP-000198,293.38,2026-08-03,SAVINGS,,POS,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000199,366.77,2026-09-03,SAVINGS,,ATM,,EUR
4c056708-a89d-4649-aec7-069be9505175,OP-000200,0,2026-10-05,PRODUCT_EVENT,,POS,,EUR
2320cd15-2f4f-4184-a03f-31cce81b30f2,OP-000201,0,2026-08-17,PRODUCT_EVENT,,POS,,TND
0aced6d2-4fe1-4787-b653-d3bf70a4c30e,OP-000202,160.6,2026-10-05,CARD_PURCHASE,,MOBILE_APP,FUEL,TND
2ecd0ce0-37ce-44b3-bb33-b0e719183e8a,OP-000203,138.99,2026-09-14,BILL_PAYMENT,,POS,,TND
6c4c71c8-cf5d-436e-ad6e-6c2a47f0637f,OP-000204,0,2026-08-29,PRODUCT_EVENT,,ONLINE,,TND
caa48f29-3c8e-4100-81b5-bc72037a6324,OP-000205,231.13,2026-08-12,BILL_PAYMENT,,POS,,TND
2eb9fcac-f9f8-48bc-b186-3f087468dc42,OP-000206,102.59,2026-10-02,BILL_PAYMENT,,MOBILE_APP,,TND
2101db79-89a1-414b-9b37-351d9797701b,OP-000207,122.39,2026-08-19,SAVINGS,,ATM,,EUR
46249a16-3043-4206-a6eb-10182dcb4257,OP-000208,0,2026-08-31,PRODUCT_EVENT,,MOBILE_APP,,EUR
db0c197a-9abf-446d-a292-f08378fe8df9,OP-000209,42.81,2026-09-21,TRANSFER,IN,ONLINE,,TND
